,movie_id,original_title,tags
10,1452,superman returns,"superman return discov 5-year absenc allow lex luthor walk free, closest felt abandon move on. luthor plot ultim reveng could see million kill chang face planet forever, well rid man steel. savingtheworld dccomic invulner sequel superhero basedoncomicbook kryptonit superpow superhumanstrength lexluthor [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] brandonrouth kevinspacey bryansing"
11,10764,quantum of solace,"quantum solac continu adventur jame bond casino royale. betray vesper, woman loved, 007 fight urg make latest mission personal. pursu determin uncov truth, bond interrog mr. white, reveal organ blackmail vesper far complex danger anyon imagined. kill undercov secretag britishsecretservic [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } , { "" "" : 8 0 , "" n e "" : "" c r e "" } ] danielcraig olgakurylenko marcforst"
12,58,pirates of the caribbean: dead man's chest,"captain jack sparrow work way blood debt ghostli davey jones, also attempt avoid etern damnation. witch fortunetel bondag exoticisland monster captain cardgam eastindiatradingcompani compass ship daughter pirat swashbuckl aftercreditssting [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } ] johnnydepp orlandobloom goreverbinski"
13,57201,the lone ranger,"texa ranger chase gang outlaw led butch cavendish, gang ambush rangers, seemingli kill all. one survivor found, however, american indian name tonto, nurs back health. ranger, don mask ride white stallion name silver, team tonto bring unscrupul gang other ilk justice. texa hors survivor texasrang partner outlaw escap lawyer train lonerang comanch thelonerang tonto [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 3 7 , "" n e "" : "" w e e r n "" } ] johnnydepp armiehamm goreverbinski"
14,49521,man of steel,"young boy learn extraordinari power earth. young man, journey discov came sent do. hero must emerg save world annihil becom symbol hope mankind. savingtheworld dccomic superhero basedoncomicbook superhuman alieninvas reboot superpow dcextendedunivers [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] henrycavil amyadam zacksnyd"
15,2454,the chronicles of narnia: prince caspian,"one year incred adventur lion, witch wardrobe, peter, edmund, luci susan pevensi return narnia aid young princ whose life threaten evil king miraz. now, help color cast new characters, includ trufflehunt badger nikabrik dwarf, pevensi clan embark incred quest ensur narnia return right heir. basedonnovel fictionalplac brothersisterrelationship lion humanb wretch leapintim matteroflifeanddeath faith uncl narnia fantasyworld [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] benbarn williammoseley andrewadamson"
16,24428,the avengers,"unexpect enemi emerg threaten global safeti security, nick fury, director intern peacekeep agenc known s.h.i.e.l.d., find need team pull world back brink disaster. span globe, dare recruit effort begins! newyork shield marvelcom superhero basedoncomicbook alieninvas superheroteam aftercreditssting duringcreditssting marvelcinematicunivers [ { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] robertdowneyjr. chrisevan josswhedon"
17,1865,pirates of the caribbean: on stranger tides,"captain jack sparrow cross path woman past, he' sure love -- ruthless con artist who' use find fabl fountain youth. forc aboard queen anne' revenge, ship formid pirat blackbeard, jack find unexpect adventur know fear more: blackbeard woman past. sea captain mutini sword primeminist sail silver ship duke mermaid pirat soldier battl swashbuckl aftercreditssting 3d [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] johnnydepp penélopecruz robmarshal"
18,41154,men in black 3,"agent j (will smith) k (tommi lee jones) back...in time. j seen inexplic thing 15 year men black, nothing, even aliens, perplex much wry, retic partner. k' life fate planet put stake, agent j travel back time put thing right. j discov secret univers k never told - secret reveal team young agent k (josh brolin) save partner, agency, futur humankind. timetravel timemachin alien fictionalgovernmentag seeingthefutur changinghistori [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 3 5 , "" n e "" : "" c e "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] willsmith tommyleejon barrysonnenfeld"
19,122917,the hobbit: the battle of the five armies,"immedi event desol smaug, bilbo dwarv tri defend erebor' mountain treasur other claim it: men ruin laketown elv mirkwood. meanwhil armi orc led azog defil march erebor, fuel rise dark lord sauron. dwarves, elv men must unite, hope middle-earth fall bilbo' hands. corrupt elv dwarv orc middle-earth(tolkien) hobbit dragon battl unlikelyfriendship epicbattl swordandsorceri [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] martinfreeman ianmckellen peterjackson"
20,1930,the amazing spider-man,"peter parker outcast high schooler abandon parent boy, leav rais uncl ben aunt may. like teenagers, peter tri figur got person today. peter discov mysteri briefcas belong father, begin quest understand parents' disappear – lead directli oscorp lab dr. curt connors, father' former partner. spider-man set collis cours connors' alter ego, lizard, peter make life-alt choic use power shape destini becom hero. lossoffath vigilant serum marvelcom scientificexperi spiderbit maskedvigilant reboot superpow geneticengin socialoutcast duringcreditssting [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] andrewgarfield emmaston marcwebb"
21,20662,robin hood,"soldier robin happen upon die robert loxley, promis return man' sword famili nottingham. there, assum robert' identity; romanc widow, marion; draw ire town' sheriff king john' henchman, godfrey. robinhood archer knight sherwoodforest bowandarrow middleag mediev kingofengland [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] russellcrow cateblanchett ridleyscott"
22,57158,the hobbit: the desolation of smaug,"dwarves, bilbo gandalf success escap misti mountains, bilbo gain one ring. continu journey get gold back dragon, smaug. elv dwarv orc hobbit dragon wizard swordandsorceri [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] martinfreeman ianmckellen peterjackson"
23,2268,the golden compass,"overhear shock secret, precoci orphan lyra belacqua trade carefre exist roam hall jordan colleg otherworldli adventur far north, unawar part destiny. england compass experi lordship uncl polarbear orphan anim basedonyoungadultnovel [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] dakotabluerichard nicolekidman chrisweitz"
24,254,king kong,"1933 new york, overli ambiti movi produc coerc cast hire ship crew travel mysteri skull island, encount kong, giant ape immedi smitten lead lady. filmbusi screenplay showbusi filmmak filmproduc exoticisland monster indigen ship dinosaur [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 8 , "" n e "" : "" r "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } ] naomiwatt jackblack peterjackson"
25,597,titanic,"84 year later, 101-year-old woman name rose dewitt bukat tell stori granddaught lizzi calvert, brock lovett, lewi bodine, bobbi buell anatoli mikailavich keldysh life set april 10th 1912, ship call titan young rose board depart ship upper-class passeng mother, ruth dewitt bukater, fiancé, caledon hockley. meanwhile, drifter artist name jack dawson best friend fabrizio de rossi win third-class ticket ship game. explain whole stori departur death titan first last voyag april 15th, 1912 2:20 morning. shipwreck iceberg ship panic titan oceanlin epic richwoman-poorman love disast tragiclov classdiffer imax starcrossedlov steerag salvag richsnob 3d 1910 [ { "" "" : 1 8 , "" n e "" : "" r "" } , { "" "" : 1 0 7 4 9 , "" n e "" : "" r n c e "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } ] katewinslet leonardodicaprio jamescameron"
26,271110,captain america: civil war,"follow event age ultron, collect govern world pass act design regul superhuman activity. polar opinion amongst avengers, caus two faction side iron man captain america, caus epic battl former allies. civilwar war marvelcom sequel superhero basedoncomicbook imax aftercreditssting duringcreditssting marvelcinematicunivers 3d [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] chrisevan robertdowneyjr. anthonyrusso"
27,44833,battleship,"mankind beam radio signal space, repli come ‘planet g’, form sever alien craft splash water hawaii. lieuten alex hopper weapon offic assign uss john paul jones, part intern naval coalit becom world' last hope surviv engag hostil alien forc unimagin strength. take invaders, hopper must also tri live potenti brother, fiancée' father, admir shane, expect him. fight u.s.navi mindread hongkong soccer scientist fictionalwar naval armada battleship navalcombat jdsmyoko lostcommun taser buoy communicationsexpert jointchiefsofstaff crashland jetfighterpilot navylieuten permissiontomarri ussjohnpauljon basedonboardgam aftercreditssting mightymo ussmissouri [ { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] taylorkitsch alexanderskarsgård peterberg"
28,135397,jurassic world,"twenty-two year event jurass park, isla nublar featur fulli function dinosaur theme park, jurass world, origin envis john hammond. monster dna tyrannosaurusrex velociraptor island sequel suspens disast escap dinosaur amusementpark animalattack themepark jurassicpark 3d animalhorror [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } ] chrispratt brycedallashoward colintrevorrow"
29,37724,skyfall,"bond' latest assign goe grave wrong agent around world exposed, mi6 attack forc reloc agency. event caus author posit challeng gareth mallory, new chairman intellig secur committee. mi6 compromis insid out, left one alli trust: bond. 007 take shadow - aid field agent, eve - follow trail mysteri silva, whose lethal hidden motiv yet reveal themselves. spi secretag sociopath killer artgalleri britishsecretservic istanbulturkey imax uzi boobytrap impersonatingapoliceoffic macao [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } ] danielcraig judidench sammend"
30,558,spider-man 2,"peter parker go major ident crisis. burn spider-man, decid shelv superhero alter ego, leav citi suffer wake carnag left evil doc ock. meantime, parker still can't act feel mari jane watson, girl he' love sinc childhood. dualident loveofone'slif pizzaboy marvelcom sequel superhero doctor scientist tentacl death supervillain [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] tobeymaguir kirstendunst samraimi"
31,68721,iron man 3,"toni stark' world torn apart formid terrorist call mandarin, start odyssey rebuild retribution. terrorist waronterror tennesse malibu marvelcom superhero basedoncomicbook tonystark ironman aftercreditssting marvelcinematicunivers mandarin 3d warmachin ironpatriot extremi [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] robertdowneyjr. gwynethpaltrow shaneblack"
32,12155,alice in wonderland,"alice, unpretenti individu 19-year-old, betroth dunc english nobleman. engag party, escap crowd consid whether go marriag fall hole garden spot unusu rabbit. arriv strang surreal place call 'underland,' find world resembl nightmar child, fill talk animals, villain queen knights, frumiou bandersnatches. alic realiz reason – conquer horrif jabberwocki restor right queen throne. basedonnovel fictionalplac queen fantasi aliceinwonderland fantasyworld 3d [ { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] miawasikowska johnnydepp timburton"
33,36668,x-men: the last stand,"cure found treat mutations, line drawn amongst x-men brotherhood, band power mutant organ xavier' former ally, magneto. mutant marvelcom basedoncomicbook superhuman beast cyclop aftercreditssting [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } ] hughjackman halleberri brettratn"
34,62211,monsters university,"look relationship mike sulley day monster univers — necessarili best friends. monster dormitori game anim bestfriend univers scari aftercreditssting [ { "" "" : 1 6 , "" n e "" : "" n n "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } ] billycryst johngoodman danscanlon"
35,8373,transformers: revenge of the fallen,"sam witwicki leav autobot behind normal life. mind fill cryptic symbols, decepticon target drag back transformers' war. egypt sun chao symbol artifact transform tank robot imax duringcreditssting [ { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] shialabeouf meganfox michaelbay"
36,91314,transformers: age of extinction,"human pick pieces, follow conclus ""transformers: dark moon,"" autobot decepticon vanish face planet. however, group powerful, ingeni businessman scientist attempt learn past transform incurs push boundari technolog beyond control - ancient, power transform menac set earth cross-hairs. sequel alien transform giantrobot robot imax transformingrobot [ { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] markwahlberg stanleytucci michaelbay"
37,68728,oz: the great and powerful,"oscar diggs, small-tim circu illusionist con-artist, whisk kansa land oz inhabit assum he' great wizard prophecy, save oz clutch evil. circu witch magic hope illus lost magictrick wizard 3d [ { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } ] jamesfranco milakuni samraimi"
38,102382,the amazing spider-man 2,"peter parker, life busy. take bad guy spider-man spend time person loves, gwen stacy, high school graduat cannot come quickli enough. peter forgotten promis made gwen’ father protect stay away, promis cannot keep. thing chang peter new villain, electro, emerges, old friend, harri osborn, returns, peter uncov new clue past. obsess marvelcom sequel basedoncomicbook electrocut medicalexperi electr superpow [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] andrewgarfield emmaston marcwebb"
39,20526,tron: legacy,"sam flynn, tech-savvi dare son kevin flynn, investig father' disappear pull grid. help mysteri program name quorra, sam quest stop evil dictat clu cross real world. artificialintellig secretident computerprogram dystopia comput decept duel motorcycl neonlight autocraci [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] garretthedlund jeffbridg josephkosinski"
40,49013,cars 2,"star race car lightn mcqueen pal mater head oversea compet world grand prix race. road championship becom rocki mater get caught intrigu adventur own: intern espionage. carrac sequel comedi anthropomorph bestfriend duringcreditssting [ { "" "" : 1 6 , "" n e "" : "" n n "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 3 5 , "" n e "" : "" c e "" } ] owenwilson larrythecableguy johnlasset"
41,44912,green lantern,"centuries, small power forc warrior call green lantern corp sworn keep intergalact order. green lantern wear ring grant superpowers. new enemi call parallax threaten destroy balanc power universe, fate fate earth lie hand first human ever recruited. dccomic transform superhero alien alieninfect magicalobject protector superpow origin 3d [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] ryanreynold blakel martincampbel"
42,10193,toy story 3,"woody, buzz, rest andy' toy play years. andi go college, gang find accident left nefari day care center. toy must band togeth escap return home andy. hostag colleg toy barbi anim escap daycar teddybear duringcreditssting toycomestolif personif inanimateobjectscomingtolif toystori [ { "" "" : 1 6 , "" n e "" : "" n n "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } , { "" "" : 3 5 , "" n e "" : "" c e "" } ] tomhank timallen leeunkrich"
43,534,terminator salvation,"grown post-apocalypt 2018, john connor must lead resist human increasingli domin militarist robots. marcu wright appears, exist confus mission connor tri determin whether wright come futur past -- whether he' friend foe. savingtheworld artificialintellig propheci sanfrancisco cyborg killerrobot gasstat post-apocalypt dystopia armi firearm wartim losangel [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } ] christianbal samworthington mcg"
44,168259,furious 7,"deckard shaw seek reveng domin toretto famili comatos brother. carrac speed reveng suspens car race musclecar [ { "" "" : 2 8 , "" n e "" : "" c n "" } ] vindiesel paulwalk jameswan"
45,72190,world war z,"life former unit nation investig gerri lane famili seem content. suddenly, world plagu mysteri infect turn whole human popul rampag mindless zombies. bare escap chaos, lane persuad go mission investig disease. follow peril trek around world lane must brave horrif danger long odd find answer human civil falls. dystopia apocalyps zombi nuclearweapon multipleperspect zombieapocalyps [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 8 , "" n e "" : "" r "" } , { "" "" : 2 7 , "" n e "" : "" h r r r "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 5 3 , "" n e "" : "" h r l l e r "" } ] bradpitt mireilleeno marcforst"
46,127585,x-men: days of future past,"ultim x-men ensembl fight war surviv speci across two time period join forc younger selv epic battl must chang past – save future. 1970 mutant timetravel marvelcom basedoncomicbook superhuman storm beast aftercreditssting changingthepastorfutur [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] hughjackman jamesmcavoy bryansing"
47,54138,star trek into darkness,"crew enterpris call back home, find unstopp forc terror within organ deton fleet everyth stand for, leav world state crisis. person score settle, captain kirk lead manhunt war-zon world captur one man weapon mass destruction. hero propel epic chess game life death, love challenged, friendship torn apart, sacrific must made famili kirk left: crew. spacecraft friendship sequel futurist space alien imax spaceopera terroristbomb 3d [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } ] chrispin zacharyquinto j.j.abram"
48,81005,jack the giant slayer,"stori ancient war reignit young farmhand unwittingli open gateway world fearsom race giants. unleash earth first time centuries, giant strive reclaim land lost, forc young man, jack battl life stop them. fight kingdom, people, love brave princess, come face face unstopp warrior thought exist legend–and get chanc becom legend himself. basedonfairytal giant [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 0 7 5 1 , "" n e "" : "" f l "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } ] nicholashoult eleanortomlinson bryansing"
49,64682,the great gatsby,"adapt f. scott fitzgerald' long island-set novel, midwestern nick carraway lure lavish world neighbor, jay gatsby. soon enough, however, carraway see crack gatsby' nouveau rich existence, obsession, madness, tragedi await. basedonnovel infidel obsess hope 3d [ { "" "" : 1 8 , "" n e "" : "" r "" } , { "" "" : 1 0 7 4 9 , "" n e "" : "" r n c e "" } ] leonardodicaprio tobeymaguir bazluhrmann"
50,9543,prince of persia: the sands of time,"rogu princ reluctantli join forc mysteri princess together, race dark forc safeguard ancient dagger capabl releas sand time – gift god revers time allow possessor rule world. persia sandstorm brotheragainstbroth armageddon regent basedonvideogam [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 1 4 , "" n e "" : "" f n "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 1 0 7 4 9 , "" n e "" : "" r n c e "" } ] jakegyllenha gemmaarterton mikenewel"
51,68726,pacific rim,"legion monstrou creatures, known kaiju, start rise sea, war began would take million live consum humanity' resourc year end. combat giant kaiju, special type weapon devised: massiv robots, call jaegers, control simultan two pilot whose mind lock neural bridge. even jaeger prove nearli defenseless face relentless kaiju. verg defeat, forc defend mankind choic turn two unlik heroes—a washed-up former pilot (charli hunnam) untest traine (rinko kikuchi)—who team drive legendari seemingli obsolet jaeger past. together, stand mankind' last hope mount apocalypse. dystopia giantrobot giantmonst apocalyps imax duringcreditssting 3d [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] idriselba charliehunnam guillermodeltoro"
52,38356,transformers: dark of the moon,"sam witwicki take first tenuou step adulthood remain reluct human alli autobot-lead optimu prime. film center around space race ussr usa, suggest hidden transform role remain one planet' danger secrets. moon spacecraft traitor bodyguard alienplanet basedoncartoon transform giantrobot sabotag worddomin commando duringcreditssting [ { "" "" : 2 8 , "" n e "" : "" c n "" } , { "" "" : 8 7 8 , "" n e "" : "" c e n c e f c n "" } , { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } ] shialabeouf johnmalkovich michaelbay"
53,217,indiana jones and the kingdom of the crystal skull,"set cold war, soviet – led sword-wield irina spalko – search crystal skull supernatur power relat mystic lost citi gold. captur escap them, indi coerc head peru behest young man whose friend – indy' colleagu – professor oxley captur knowledg skull' whereabouts. savingtheworld riddl whip treasur mexicoc leatherjacket machinegun alienphenomenon mayacivil peru treasurehunt nuclearexplos refriger archaeologist indianajon archeolog [ { "" "" : 1 2 , "" n e "" : "" v e n u r e "" } , { "" "" : 2 8 , "" n e "" : "" c n "" } ] harrisonford cateblanchett stevenspielberg"
